GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Gini Index,Margin of Error; Gini Index
0400000US01,01,Alabama,0.4758,0.0042
0400000US02,02,Alaska,0.4175,0.0107
0400000US04,04,Arizona,0.4676,0.0036
0400000US05,05,Arkansas,0.4714,0.0084
0400000US06,06,California,0.4890,0.0015
0400000US08,08,Colorado,0.4584,0.0042
0400000US09,09,Connecticut,0.5005,0.0050
0400000US10,10,Delaware,0.4494,0.0095
0400000US11,11,District of Columbia,0.5224,0.0092
0400000US12,12,Florida,0.4834,0.0024
0400000US13,13,Georgia,0.4801,0.0034
0400000US15,15,Hawaii,0.4325,0.0080
0400000US16,16,Idaho,0.4541,0.0111
0400000US17,17,Illinois,0.4765,0.0030
0400000US18,18,Indiana,0.4455,0.0037
0400000US19,19,Iowa,0.4433,0.0053
0400000US20,20,Kansas,0.4597,0.0056
0400000US21,21,Kentucky,0.4704,0.0033
0400000US22,22,Louisiana,0.4902,0.0054
0400000US23,23,Maine,0.4593,0.0098
0400000US24,24,Maryland,0.4491,0.0034
0400000US25,25,Massachusetts,0.4863,0.0031
0400000US26,26,Michigan,0.4598,0.0026
0400000US27,27,Minnesota,0.4539,0.0035
0400000US28,28,Mississippi,0.4760,0.0068
0400000US29,29,Missouri,0.4628,0.0037
0400000US30,30,Montana,0.4544,0.0077
0400000US31,31,Nebraska,0.4352,0.0055
0400000US32,32,Nevada,0.4427,0.0061
0400000US33,33,New Hampshire,0.4410,0.0084
0400000US34,34,New Jersey,0.4757,0.0036
0400000US35,35,New Mexico,0.4770,0.0071
0400000US36,36,New York,0.5111,0.0027
0400000US37,37,North Carolina,0.4748,0.0032
0400000US38,38,North Dakota,0.4664,0.0110
0400000US39,39,Ohio,0.4637,0.0025
0400000US40,40,Oklahoma,0.4660,0.0042
0400000US41,41,Oregon,0.4624,0.0051
0400000US42,42,Pennsylvania,0.4686,0.0026
0400000US44,44,Rhode Island,0.4827,0.0095
0400000US45,45,South Carolina,0.4687,0.0051
0400000US46,46,South Dakota,0.4468,0.0102
0400000US47,47,Tennessee,0.4811,0.0045
0400000US48,48,Texas,0.4827,0.0021
0400000US49,49,Utah,0.4283,0.0054
0400000US50,50,Vermont,0.4406,0.0096
0400000US51,51,Virginia,0.4658,0.0032
0400000US53,53,Washington,0.4542,0.0037
0400000US54,54,West Virginia,0.4546,0.0074
0400000US55,55,Wisconsin,0.4397,0.0041
0400000US56,56,Wyoming,0.4270,0.0147
0400000US72,72,Puerto Rico,0.5472,0.0067
